f_FFT;A_FFT;f_WFFT;A_WFFT;f_resamplingSVstream;A_resamplingSVstream;f_splineresample;A_splineresample
0;0.003252999037602752;0;3.026826328732391e-08;0;1.422066023964996e-12;0;7.436028544116518e-12
1;0.006510000589056629;1;6.078113540178257e-08;1.047872340425532;2.977321598590845e-12;1.005102041216938;2.220244588591292e-11
2;0.006522026298998754;2;6.151569520554848e-08;2.095744680851064;3.349127662641232e-12;2.010204082433876;3.620514559915849e-11
3;0.006542129945842793;3;6.274257567460011e-08;3.143617021276595;3.901666969306955e-12;3.015306123650813;5.179193889944507e-11
4;0.006570403555093371;4;6.446629230711374e-08;4.191489361702128;4.587192515619098e-12;4.020408164867751;6.797434243917607e-11
5;0.006606977642042802;5;6.669427007703471e-08;5.23936170212766;5.383572347692691e-12;5.025510206084689;8.451823273494158e-11
6;0.006652022937383071;6;6.94377955663692e-08;6.287234042553191;6.298781155414354e-12;6.030612247301627;1.013624958674976e-10
7;0.006705752673590164;7;7.271306559846473e-08;7.335106382978723;7.398352743409381e-12;7.035714288518564;1.185017824439961e-10
8;0.006768425486487824;8;7.654228458340061e-08;8.382978723404255;8.972858198399707e-12;8.040816329735502;1.35950629287575e-10
9;0.006840349002740661;9;8.095478268528816e-08;9.430851063829786;1.505699656423977e-11;9.045918370952441;1.537301521282123e-10
10;0.006921884203286148;10;8.598816098813969e-08;10.47872340425532;6.69652494733809e-12;10.05102041216938;1.718561849869763e-10
11;0.007013450675805354;11;9.168950082530094e-08;11.52659574468085;9.835857892076452e-12;11.05612245338632;1.903230340847915e-10
12;0.007115532897393441;12;9.811667922430857e-08;12.57446808510638;1.248585645368474e-11;12.06122449460325;2.090572408891451e-10
13;0.007228687723107371;13;1.053398633011486e-07;13.62234042553191;1.813624496104624e-11;13.06632653582019;2.277428882834269e-10
14;0.007353553298932261;14;1.134432390686754e-07;14.67021276595745;1.759923163114208e-10;14.07142857703713;2.445982137756062e-10
15;0.007490859671458702;15;1.225270626952357e-07;15.71808510638298;1.491514599387242e-11;15.07653061825407;3.189938017195516e-10
16;0.007641441434497862;16;1.327101008479063e-07;16.76595744680851;1.216528982494392e-11;16.081632659471;5.170181199862183e-10
17;0.007806252839464027;17;1.441325559911113e-07;17.81382978723404;1.285418092075292e-11;17.08673470068794;3.279086937660037e-10
18;0.007986385907608895;18;1.569595567716002e-07;18.86170212765957;1.389555310841028e-11;18.09183674190488;3.4886776299221e-10
19;0.008183092226311639;19;1.713853147582884e-07;19.90957446808511;1.499626473115092e-11;19.09693878312182;3.731316693928738e-10
20;0.008397809299858;20;1.876380256199215e-07;20.95744680851064;1.611718169780343e-11;20.10204082433876;3.993213029443567e-10
21;0.00863219257314393;21;2.059855929178018e-07;22.00531914893617;1.725679431005258e-11;21.10714286555569;4.272552808616571e-10
22;0.008888154576450617;22;2.267421798247588e-07;23.0531914893617;1.842120361805036e-11;22.11224490677263;4.569940816176271e-10
23;0.009167913082032839;23;2.50275511001456e-07;24.10106382978723;1.961749811077393e-11;23.11734694798957;4.886923853366936e-10
24;0.009474050763439773;24;2.770146132814332e-07;25.14893617021276;2.085327051792809e-11;24.12244898920651;5.225640986497446e-10
25;0.00980958967127667;25;3.074573082067685e-07;26.1968085106383;2.213597571134507e-11;25.12755103042344;5.588749240121636e-10
26;0.01017808498025311;26;3.42176013008898e-07;27.24468085106383;2.347391524715233e-11;26.13265307164038;5.979452803309439e-10
27;0.01058374406496695;27;3.818190826603884e-07;28.29255319148936;2.48758120021088e-11;27.13775511285732;6.40157875550038e-10
28;0.01103157924309485;28;4.271024519935209e-07;29.34042553191489;2.635174377917022e-11;28.14285715407426;6.859710983477048e-10
29;0.01152760581966134;29;4.787818842904841e-07;30.38829787234042;2.79129091652028e-11;29.1479591952912;7.359363997618514e-10
30;0.01207910190146052;30;5.375879037182755e-07;31.43617021276596;2.957247673701083e-11;30.15306123650813;7.907219266444443e-10
31;0.0126949536706067;31;6.040903715359212e-07;32.48404255319149;3.134592787026559e-11;31.15816327772507;8.511441138168661e-10
32;0.01338612079289645;32;6.784315027551522e-07;33.53191489361702;3.325194005127693e-11;32.16326531894201;9.182122007025743e-10
33;0.01416627370824474;33;7.598135844923032e-07;34.57978723404256;3.531239679557373e-11;33.16836736015895;9.931867552192656e-10
34;0.01505268169698002;34;8.455294650271386e-07;35.62765957446808;3.75550542435247e-11;34.17346940137588;1.077664911114313e-09
35;0.01606747490742243;35;9.291432521777821e-07;36.67553191489362;4.001326442121676e-11;35.17857144259283;1.173698766465465e-09
36;0.0172394779066073;36;9.971124108939925e-07;37.72340425531915;4.272976834300231e-11;36.18367348380976;1.283971727202942e-09
37;0.01860694133633977;37;1.022673086156376e-06;38.77127659574468;4.575823466541368e-11;37.1887755250267;1.412061209793975e-09
38;0.02022173049325525;38;9.555489321610886e-07;39.81914893617022;4.916811536407577e-11;38.19387756624364;1.562844470127906e-09
39;0.02215596580299921;39;7.085768708389918e-07;40.86702127659574;5.305105608336597e-11;39.19897960746057;1.743149395887084e-09
40;0.0245129706735642;40;1.620265263873056e-07;41.91489361702128;5.753004723840248e-11;40.20408164867752;1.962837167821056e-09
41;0.02744618147127551;41;6.857919801871332e-07;42.96276595744681;6.277396939478117e-11;41.20918368989445;2.236699121405624e-09
