M;FE_AErr_h1;FE_phErr_h1; SR_AErr_h1;SR_phErr_h1; WF_AErr_h1;WF_phErr_h1; MH_AErr_h1;MH_phErr_h1; WR_AErr_h1;WR_phErr_h1; SV_AErr_h1;SV_phErr_h1; FE_AErr_h2;FE_phErr_h2; SR_AErr_h2;SR_phErr_h2; WF_AErr_h2;WF_phErr_h2; MH_AErr_h2;MH_phErr_h2; WR_AErr_h2;WR_phErr_h2; SV_AErr_h2;SV_phErr_h2 
3;8.881784197001252e-16;-1.77635683940025e-15;0;-1.820164845776695e-15;-0.03183715499999751;-3.102955809923415e-16;-2.220446049250313e-16;-4.440892098500627e-16;-0.07359338346821864;NaN;5.421466986033074e-05;-2.788809363554793;NaN;NaN;2.775557561562891e-16;-3.654230152811097e-15;0.1183715500000005;3.141592653589793;1.387778780781446e-17;-5.551115123125782e-16;NaN;NaN;-0.0001105571969322455;0.7061745489950999
3.1;0.001332174893367455;0.003006276654835993;-1.592059817312474e-13;-1.579880152001994e-15;-0.02335121694251996;0.3063591388151291;0;-1.821647926240635e-17;-0.0589674032182177;NaN;5.421466986033074e-05;-2.788809363554793;NaN;NaN;-2.546435284855875e-13;-3.155568656414629e-15;0.164206796848123;-2.944686537842987;0;2.979124651180736e-16;NaN;NaN;-0.0001105571969322455;0.7061745489950999
3.2;0.005254443288025268;0.005699953569824778;-1.5931700403371e-13;-1.451306015337462e-15;-0.01466111377912815;0.6173114912452722;-3.33066907387547e-16;-2.220446049250314e-16;-0.03864693586655399;NaN;5.418281344193865e-05;-2.789123351214847;NaN;NaN;-2.546574062733953e-13;-2.81354731745461e-15;0.2228964831004137;-2.696372474228696;5.551115123125783e-17;-2.914335439641034e-15;NaN;NaN;-0.0001106082635544681;0.7055460898529347
3.3;0.004747039846171308;0.006120060439278152;-1.5931700403371e-13;1.663047750245147e-15;-0.007447620083772533;0.9316230535136655;0;-5.27961143687393e-18;-0.01887136296443037;NaN;-5.355678204099767e-05;-2.775032892628346;NaN;NaN;-2.551014954832453e-13;3.402607425012026e-15;-0.003421909965000774;-0.05087734247157236;0;-3.594053976311134e-16;NaN;NaN;0.0001091928020752475;0.7324921087623175
3.4;0.0009289936869811832;0.009654935571103085;-1.590949594287849e-13;-2.498450795333562e-15;-0.002590200390569009;1.247825703877923;0;-3.812442826836424e-18;-0.002492195402195918;NaN;5.418281344193865e-05;-2.789123351214847;NaN;NaN;-2.544908728197015e-13;-5.278583264899909e-15;0.03967114756254816;0.5074253588280538;0;1.9846579756088e-16;NaN;NaN;-0.0001106082635544681;0.7055460898529347
3.5;7.385166479600969e-05;0.01212546064531539;-1.589839371263224e-13;-1.105849774838844e-15;-0.0003057149194212183;1.564652464884438;0;-7.250278749946967e-18;0.01016420054683187;NaN;5.418281344193865e-05;-2.789123351214847;NaN;NaN;-2.545880173343562e-13;-2.105314835821909e-15;0.08656249376150496;1.005088601891509;0;7.790491373036476e-17;NaN;NaN;-0.0001106082635544681;0.7055460898529347
3.6;-0.001621732304795009;0.008975596584499979;-1.592059817312474e-13;-1.812467813465048e-15;0.008116546865950758;-1.279894322698452;0;-3.33066907387547e-16;0.01981602258732384;NaN;5.418281344193865e-05;-2.789123351214847;NaN;NaN;-2.544076060928546e-13;-3.628498421259861e-15;0.1354837563008062;1.469114776201692;-1.110223024625157e-16;0;NaN;NaN;-0.0001106082635544681;0.7055460898529347
3.7;-0.005732199420104833;0.006450944045733209;-1.594280263361725e-13;-1.734443459164669e-15;0.01127707918371579;-0.9572397942584198;0;-1.436406699236994e-17;0.02710028531866726;NaN;5.418281344193865e-05;-2.789123351214847;NaN;NaN;-2.54601895122164e-13;-3.516926529227351e-15;0.184727757824931;1.910938192069778;0;6.842833619349706e-17;NaN;NaN;-0.0001106082635544681;0.7055460898529347
3.8;-0.005200934079347741;0.006057854591367651;-1.5931700403371e-13;-2.175647220957085e-15;0.01101022933434948;-0.6360620137920391;0;-1.369884863142005e-17;0.03214217933724273;NaN;5.418281344193865e-05;-2.789123351214847;NaN;NaN;-2.545602617587406e-13;-4.093056860898551e-15;0.03347623043994472;-1.084429122613743;0;2.681025129925716e-16;NaN;NaN;-0.0001106082635544681;0.7055460898529347
3.9;-0.001148200662117516;0.002713659634690835;-1.5931700403371e-13;-1.976544977792578e-15;0.008853963518144381;-0.3169901562746287;2.220446049250313e-16;-3.330669073875469e-16;0.03469233511585101;NaN;5.418281344193865e-05;-2.789123351214847;NaN;NaN;-2.545602617587406e-13;-3.883109864775144e-15;0.04759500417233881;-0.5251299622072222;1.110223024625157e-16;1.2490009027033e-15;NaN;NaN;-0.0001106082635544681;0.7055460898529347
4;0;-2.442490654175344e-15;0;-2.4099033661403e-15;0.006141944999996651;-4.019469457589985e-16;0;-6.38378239159465e-16;0.03449345622093758;NaN;5.418281344193865e-05;-2.789123351214847;NaN;NaN;2.775557561562891e-16;-5.055645787584246e-15;0.06141944999999946;-8.769399472671213e-16;0;-1.665334536937735e-15;NaN;NaN;-0.0001106082635544681;0.7055460898529347
4.1;0.001015727245011977;0.00230853376339013;-1.592059817312474e-13;-2.111252385275457e-15;0.003762644297257367;0.315357039061794;2.220446049250313e-16;-8.88178419700125e-16;0.03157872740529122;NaN;5.418281344193865e-05;-2.789123351214847;NaN;NaN;-2.546712840612031e-13;-3.864648819653439e-15;0.07366512269593248;0.4930893795094481;-1.942890293094024e-16;-1.942890293094027e-15;NaN;NaN;-0.0001106082635544681;0.7055460898529347
4.2;0.004076791805391444;0.004465561513551819;-1.592059817312474e-13;-2.13642971721154e-15;0.002096622072187637;0.6296880655109459;-3.33066907387547e-16;-8.881784197001254e-16;0.02637287961143131;NaN;5.411768045493481e-05;-2.789437337975988;NaN;NaN;-2.546296506977797e-13;-4.362313986893196e-15;0.08303409245846918;0.9553272778619769;6.38378239159465e-16;-1.734723475976796e-15;NaN;NaN;-0.0001106718977373772;0.7049176435074008
4.3;0.003772020427349254;0.004774332844842633;-1.59539048638635e-13;-1.473270354465102e-15;0.001096625130107665;0.9435419714884673;0;-1.384848580672959e-17;0.01961769694747617;NaN;5.411768045493481e-05;-2.789437337975988;NaN;NaN;-2.547129174246265e-13;-2.90443066962179e-15;0.005973400610556484;-1.330280128081805;0;1.618093637362113e-16;NaN;NaN;-0.0001106718977373772;0.7049176435074008
4.4;0.0007704925083766856;0.007435436043253585;-1.5931700403371e-13;-2.268838807116901e-15;0.0004389393995267721;1.257293416645009;-2.220446049250313e-16;-1.221245327087672e-15;0.01221019732725237;NaN;5.411768045493481e-05;-2.789437337975988;NaN;NaN;-2.54601895122164e-13;-4.420579293253667e-15;0.004842811382474124;-0.748124264467605;8.326672684688674e-17;-1.387778780781444e-15;NaN;NaN;-0.0001106718977373772;0.7049176435074008
4.5;4.463044929581272e-05;0.009431097940169941;-1.592059817312474e-13;-2.463760105167999e-15;-0.0003265952742286249;1.571127875083073;0;-1.202272565689083e-17;0.005035576386989593;NaN;5.411768045493481e-05;-2.789437337975988;NaN;NaN;-2.545741395465484e-13;-4.67508279392639e-15;0.001552413096276947;-0.1750766904520032;0;1.059735980191545e-16;NaN;NaN;-0.0001106718977373772;0.7049176435074008
4.6;-0.00118565155140482;0.007028598323513435;-1.589839371263224e-13;-2.647051378720714e-15;-0.000970310530679197;-1.252932527985848;4.440892098500626e-16;-1.332267629550187e-15;-0.001160067000447684;NaN;5.411768045493481e-05;-2.789437337975988;NaN;NaN;-2.545602617587406e-13;-5.181683504494986e-15;-0.004574654686204702;0.3933913813200208;-2.775557561562891e-17;-2.775557561562892e-16;NaN;NaN;-0.0001106718977373772;0.7049176435074008
4.7;-0.004363976894310784;0.004975451007137366;-1.592059817312474e-13;-2.533496262302353e-15;-0.00104967803856737;-0.9405857128379236;0;-7.870018090741511e-18;-0.005846215763641194;NaN;5.411768045493481e-05;-2.789437337975988;NaN;NaN;-2.546574062733953e-13;-4.351412647116324e-15;-0.01423075900864361;0.9661551331274028;0;2.577928221781186e-16;NaN;NaN;-0.0001106718977373772;0.7049176435074008
4.8;-0.004047995385816461;0.00468253592024892;-1.590949594287849e-13;-2.395350963647754e-15;-0.000859719428804806;-0.6275428543040985;0;-2.071605961716412e-18;-0.008739804681464625;NaN;5.411768045493481e-05;-2.789437337975988;NaN;NaN;-2.543382171538155e-13;-5.083256802922997e-15;-0.001122196051586463;-1.265065043600607;0;-1.44408156186864e-16;NaN;NaN;-0.0001106718977373772;0.7049176435074008
4.9;-0.0009077977396514392;0.002135610496394769;-1.5931700403371e-13;-2.854904190878693e-15;-0.0005958444648501704;-0.3139454202988314;0;-6.456198110874957e-18;-0.009801758689640838;NaN;5.411768045493481e-05;-2.789437337975988;NaN;NaN;-2.545463839709328e-13;-5.79095317608351e-15;-0.002073158223593941;-0.6352706789823562;0;-1.089691662330851e-16;NaN;NaN;-0.0001106718977373772;0.7049176435074008
5;1.332267629550188e-15;-3.108624468950438e-15;0;-4.893389641820972e-16;-0.0003314400000027362;-4.770627346757275e-16;4.440892098500626e-16;-9.992007221626405e-16;-0.009205570946795416;NaN;5.411768045493481e-05;-2.789437337975988;NaN;NaN;1.387778780781446e-17;-9.005493817508126e-16;-0.003314400000000245;-6.682695880844862e-16;-8.326672684688674e-17;-3.885780586188051e-15;NaN;NaN;-0.0001106718977373772;0.7049176435074008
5.1;0.0008208244488456806;0.00187362961718307;-1.594280263361725e-13;-1.055308258125778e-15;-7.420089417098374e-05;0.3141156361902731;0;-7.585784262795049e-18;-0.007284806622191109;NaN;5.411768045493481e-05;-2.789437337975988;NaN;NaN;-2.547684285758578e-13;-1.919087168547458e-15;-0.004575972954970656;0.6440133134464238;0;1.046403467251094e-17;NaN;NaN;-0.0001106718977373772;0.7049176435074008
5.2;0.003330843165115338;0.003670194091683232;-1.592059817312474e-13;5.282572858812557e-17;0.0001636734707581855;0.6282886204083895;-4.440892098500626e-16;-1.110223024625157e-15;-0.004468205978731099;NaN;5.401873275756586e-05;-2.78975132509998;NaN;NaN;-2.548794508783203e-13;1.650045133685176e-16;-0.005479730594361798;1.299625283788521;6.661338147750939e-16;-1.595945597898652e-15;NaN;NaN;-0.0001107490046658444;0.7042891925257936
