f;FE_AErr_h1;FE_phErr_h1; SR_AErr_h1;SR_phErr_h1; WF_AErr_h1;WF_phErr_h1; MH_AErr_h1;MH_phErr_h1; WR_AErr_h1;WR_phErr_h1; SV_AErr_h1;SV_phErr_h1; FE_AErr_h2;FE_phErr_h2; SR_AErr_h2;SR_phErr_h2; WF_AErr_h2;WF_phErr_h2; MH_AErr_h2;MH_phErr_h2; WR_AErr_h2;WR_phErr_h2; SV_AErr_h2;SV_phErr_h2 
49.9;-1.17815578981606e-06;2.822010308811684e-05;-3.951573246396833e-08;1.353930758032015e-06;-0.0003575021490510588;-0.03140466389913832;0;-8.518501413212621e-18;-0.009331269867432046;NaN;4.599463414911575e-05;-2.664207602795864;NaN;NaN;-1.490809728166287e-07;2.705155775020692e-06;-0.003184241747698505;-0.0638655246206697;0;2.331991394836851e-17;NaN;NaN;-9.572698092454035e-05;0.9555413737644916
49.901;-1.154836869021736e-06;2.811906927036034e-05;-4.922671226204045e-08;1.686657026064391e-06;-0.0003572411807084563;-0.03109062588975323;0;-4.851952301011526e-18;-0.009330080134220431;NaN;3.66943235197148e-05;-2.663941538136188;NaN;NaN;-1.85717349693304e-07;3.369944236112439e-06;-0.003185540865199954;-0.06322729221357652;0;1.155415579195324e-17;NaN;NaN;-7.633101558859878e-05;0.9559176112572385
49.902;-1.132044683438416e-06;2.801806642604987e-05;-5.881939202367903e-08;2.015328766526778e-06;-0.0003569802196028427;-0.03077658770102586;0;-1.391376842608876e-17;-0.009328889029524334;NaN;2.738981350569603e-05;-2.663675469346216;NaN;NaN;-2.219072970238711e-07;4.026632066005874e-06;-0.00318684004236372;-0.06258905137552094;0;-9.815478300156068e-18;NaN;NaN;-5.694997165282822e-05;0.956293784670512
49.903;-9.859474703333149e-07;2.261146643744993e-05;5.60628765633453e-08;-1.920935452252908e-06;-0.0003567192657271123;-0.03046254933311382;0;-6.903960794869117e-18;-0.009327696553741993;NaN;1.808110974210742e-05;-2.663409396429365;NaN;NaN;2.115127244878279e-07;-3.838022441536396e-06;-0.003188139278890473;-0.06195080210309884;0;8.928007698684769e-18;NaN;NaN;-3.758385262617181e-05;0.9566698940800422
49.904;-9.644313663237369e-07;2.252115184919745e-05;4.645320417218102e-08;-1.591668120123557e-06;-0.0003564583190742709;-0.03014851078617492;0;-4.082047696382865e-18;-0.009326502707259432;NaN;8.768217861776506e-06;-2.663143319389052;NaN;NaN;1.752573401958557e-07;-3.180148241702123e-06;-0.003189438574480633;-0.06131254439290638;0;-3.038773078053576e-17;NaN;NaN;-1.823266201141094e-05;0.9570459395614688
49.905;-9.434231291738371e-07;2.243087016395862e-05;3.696179384782283e-08;-1.266454137242125e-06;-0.00035619737963688;-0.02983447206035819;0;-6.049557942299963e-18;-0.009325307490460122;NaN;-5.488565055777883e-07;-2.662877238228691;NaN;NaN;1.394482543604081e-07;-2.530372285143833e-06;-0.003190737928834675;-0.06067427824152288;0;-2.368610243916907e-16;NaN;NaN;1.103596695722908e-06;0.9574219211903504
49.906;-9.22916384760164e-07;2.234062044603746e-05;2.758866513019598e-08;-9.452941258325061e-07;-0.0003559364474080562;-0.02952043315582405;0;-2.564784855504065e-18;-0.009324110903742522;NaN;-9.870107732345978e-06;-2.662611152951707;NaN;NaN;1.04085535981846e-07;-1.888695826938817e-06;-0.003192037341652798;-0.06003600364555026;0;-7.279269160030892e-17;NaN;NaN;2.042492000582652e-05;0.9577978390421461
49.907;-9.029047601805118e-07;2.225040183567728e-05;1.833383511673503e-08;-6.281886351393115e-07;-0.000355675522380694;-0.02920639407272418;0;-2.832917707647079e-18;-0.009322912947488438;NaN;-1.919553019347209e-05;-2.662345063561521;NaN;NaN;6.916924599753571e-08;-1.255119976529476e-06;-0.00319333681263527;-0.05939772060157395;0;-2.664502309645167e-16;NaN;NaN;3.973130443631068e-05;0.9581736931922304
49.908;-8.833818804232507e-07;2.216021349088493e-05;9.197320682829968e-09;-3.151381913967746e-07;-0.0003554146045481321;-0.02889235481121044;0;-6.389570270022128e-18;-0.009321713622087446;NaN;-2.85251182666757e-05;-2.662078970061556;NaN;NaN;3.46994428190861e-08;-6.296457972537366e-07;-0.003194636341482163;-0.05875942910617916;0;1.34825573704512e-16;NaN;NaN;5.902274651106709e-05;0.958549483715892
49.909;-8.643413722531079e-07;2.207005456922317e-05;1.791380377369478e-10;-6.143312562540169e-09;-0.000355153693902488;-0.02857831537144286;0;-1.682349218503014e-17;-0.009320512927928015;NaN;-3.785886633256297e-05;-2.661812872455247;NaN;NaN;6.761839144164838e-10;-1.227433544795632e-08;-0.003195935927893426;-0.05812112915596856;0;1.940302057314331e-16;NaN;NaN;7.829924276006595e-05;0.9589252106883192
49.91;-8.457768553293832e-07;2.197992423358386e-05;-8.720696942354778e-09;2.987955080051133e-07;-0.0003548927904369892;-0.02826427575357308;0;-1.664388385743467e-17;-0.009319310865404828;NaN;4.673501381291523e-05;-2.677130300683071;NaN;NaN;-3.290047588533351e-08;5.969934117512211e-07;-0.00319723557156891;-0.05748282074752771;1.387778780781446e-17;3.861633624011743e-17;NaN;NaN;-9.706552123651957e-05;0.9296785177225146
49.911;-8.276819667418778e-07;2.18898216806096e-05;-1.750216993556819e-08;5.996778075841853e-07;-0.0003546318941446414;-0.02795023595775261;0;-1.028628363833092e-17;-0.009318107434900358;NaN;3.725910834795343e-05;-2.67686464942046;NaN;NaN;-6.603048524622679e-08;1.19815650847133e-06;-0.003198535272208439;-0.05684450387744237;0;-8.368004517341115e-18;NaN;NaN;-7.735495680523397e-05;0.9300571270417239
49.912;-8.100503221530886e-07;2.179974610072577e-05;-2.616526628695937e-08;8.96503129052501e-07;-0.0003543710050183391;-0.02763619598413852;0;-1.458569074485281e-17;-0.009316902636806512;NaN;2.777882876991988e-05;-2.67659899391126;NaN;NaN;-9.87137933339266e-08;1.791214029970706e-06;-0.003199835029511683;-0.05620617854231016;0;-2.820906591667598e-16;NaN;NaN;-5.765915047330206e-05;0.9304356687348651
49.913;-7.928755545449917e-07;2.170969669279543e-05;-3.47099721187405e-08;1.189271040549209e-06;-0.0003541101230508659;-0.02732215583288788;0;-1.400288404033425e-17;-0.009315696471517532;NaN;-2.762296052527535e-05;-2.668762524227964;NaN;NaN;-1.309503522284317e-07;2.376165102770617e-06;-0.003201134843178091;-0.0555678447387284;0;5.003706166385286e-17;NaN;NaN;5.70151801018437e-05;0.9452073013749284
49.914;-7.761512850201768e-07;2.161967267211296e-05;-4.313627399721298e-08;1.477981127435892e-06;-0.0003538492482353384;-0.02700811550414907;0;-1.672555930476642e-17;-0.009314488939417442;NaN;-3.704770402868096e-05;-2.66849663890312;NaN;NaN;-1.627401157583419e-07;2.953008887137226e-06;-0.003202434712907237;-0.05492950246327778;0;2.600227157888579e-16;NaN;NaN;7.645685815736714e-05;0.9455842316588015
49.915;-7.598711392331481e-07;2.15296732664072e-05;-5.144415926583434e-08;1.762633001391744e-06;-0.0003535883805646511;-0.02669407499808195;0;-3.43935302636534e-17;-0.009313280040898153;NaN;-4.647669193003079e-05;-2.668230749414156;NaN;NaN;-1.940830408053706e-07;3.521744596698689e-06;-0.003203734638398417;-0.05429115171256185;-5.551115123125783e-17;-3.51698847318632e-16;NaN;NaN;9.588366920611213e-05;0.9459610966456116
49.916;-6.365870697244702e-07;1.683848655087417e-05;4.815608400932092e-08;-1.650015779337415e-06;-0.0003533275200314767;-0.02638003431483754;0;-1.50565455768235e-17;-0.009312069776349796;NaN;3.874386689051157e-05;-2.683477412061778;NaN;NaN;1.816819588384977e-07;-3.296726546970059e-06;-0.003205034619350886;-0.05365279248316712;0;3.373336895852931e-16;NaN;NaN;-8.028358462859597e-05;0.9168426024480141
49.917;-6.214220529265901e-07;1.675924923638661e-05;3.983007812458084e-08;-1.364732994591654e-06;-0.0003530666666290427;-0.02606599345456702;0;-1.298125887767283e-19;-0.009310858146156842;NaN;2.917631164867096e-05;-2.683211968771329;NaN;NaN;1.502696721777941e-07;-2.726732998266932e-06;-0.003206334655463772;-0.05301442477168053;0;1.160231118996986e-16;NaN;NaN;-6.042797900891739e-05;0.9172223913993275
49.918;-6.066822492156732e-07;1.668003808452667e-05;3.162244732735076e-08;-1.083507125279455e-06;-0.0003528058203501327;-0.02575195241742982;0;-1.014687689165152e-17;-0.009309645150718193;NaN;1.960429752201343e-05;-2.682946521179391;NaN;NaN;1.193040800456791e-07;-2.164844902837171e-06;-0.00320763474643608;-0.05237604857470602;0;-9.81866633420841e-19;NaN;NaN;-4.058704813429681e-05;0.9176021109821924
49.919;-5.923612816927104e-07;1.660085229771013e-05;2.353320360803934e-08;-8.063385351019874e-07;-0.0003525449811877523;-0.02543791120357697;0;-2.464697021252294e-17;-0.0093084307904161;NaN;1.00278302588297e-05;-2.682681069289206;NaN;NaN;8.878522284039292e-08;-1.611062997665074e-06;-0.003208934891966761;-0.05173766388883082;0;1.207444855621593e-16;NaN;NaN;-2.076079587960689e-05;0.9179817612763741
49.92;-5.784527754570945e-07;1.652169112853485e-05;1.556235718069843e-08;-5.332275392319873e-07;-0.0003522841491346851;-0.02512386981315921;0;-7.145252472756486e-18;-0.009307215065650798;NaN;4.469156029696109e-07;-2.68241561310402;NaN;NaN;5.871313567273884e-08;-1.065387922836574e-06;-0.003210235091754679;-0.05109927071064195;0;9.115683296428474e-17;NaN;NaN;-9.492261131421875e-07;0.9183613423615422
49.921;-5.649503551641288e-07;1.644255384070092e-05;7.709917815290623e-09;-2.641744346411561e-07;-0.0003520233241838255;-0.02480982824633314;0;-1.714655122150114e-17;-0.009305997976799762;NaN;-9.138440702938233e-06;-2.682150152627085;NaN;NaN;2.908785164124073e-08;-5.278202818567522e-07;-0.003211535345498492;-0.05046086903673864;0;-2.718306893791083e-16;NaN;NaN;1.884765730321425e-05;0.9187408543172618
49.922;-5.518476493548974e-07;1.636343971345156e-05;-2.410538435526632e-11;8.205073100467841e-10;-0.0003517625063284013;-0.02449578650325505;0;-1.695215613521503e-17;-0.009304779524261675;NaN;-1.872823291881875e-05;-2.681884687861655;NaN;NaN;-9.059893113505524e-11;1.639373157985135e-09;-0.003212835652896817;-0.04982245886371953;0;2.05435540663834e-16;NaN;NaN;3.862985051419909e-05;0.9191202972230049
49.923;-5.391382795760791e-07;1.628434802913858e-05;-7.63970375849965e-09;2.617570296298489e-07;-0.0003515016955613071;-0.02418174458407287;0;-1.784855386533989e-17;-0.009303559708428666;NaN;-2.832245530737243e-05;-2.681619218810981;NaN;NaN;-2.882218738675668e-08;5.229905187829155e-07;-0.003214136013648158;-0.04918404018816672;0;-6.98815051498031e-18;NaN;NaN;5.839734967159893e-05;0.9194996711581559
49.924;-5.268158755900032e-07;1.620527809409467e-05;-1.513686997967056e-08;5.186349044040726e-07;-0.0003512408918753263;-0.02386770248894557;0;-9.176952622094408e-18;-0.009302338529689869;NaN;-3.792110213318711e-05;-2.681353745478325;NaN;NaN;-5.710688825988353e-08;1.036232690028272e-06;-0.003215436427450952;-0.04854561300668585;0;-6.036023854571916e-17;NaN;NaN;7.815015093336208e-05;0.9198789762019927
49.925;-5.148740602756163e-07;1.612622920532658e-05;-2.251559638732914e-08;7.71453907993523e-07;-0.0003509800952631315;-0.02355366021802371;0;-1.686883143580892e-17;-0.009301115988428532;NaN;-4.752416766395928e-05;-2.681088267866945;NaN;NaN;-8.494467652886417e-08;1.541365430608371e-06;-0.003216736894003452;-0.04790717731586441;0;1.580683801334564e-16;NaN;NaN;9.788825046462557e-05;0.920258212433703
49.926;-5.033064651716046e-07;1.6047200689151e-05;-2.977587632013723e-08;1.020213852474189e-06;-0.0003507193057183944;-0.0232396177714578;0;2.859089604876511e-18;-0.009299892085044559;NaN;3.929180020834089e-05;-2.696241756119814;NaN;NaN;-1.123355311410945e-07;2.038388355410315e-06;-0.003218037413003833;-0.04726873311229095;1.387778780781446e-17;3.756667645831286e-17;NaN;NaN;-8.110939936613326e-05;0.8912976538838695
49.927;-4.921067120466915e-07;1.596819187188458e-05;-3.691770356084589e-08;1.264914558248618e-06;-0.0003504585232333435;-0.02292557514940654;0;-1.584519914617455e-17;-0.009298666819922308;NaN;2.955712816632428e-05;-2.695976725856275;NaN;NaN;-1.392794319599044e-07;2.52730109661107e-06;-0.003219337984150236;-0.04663028039257131;0;2.05564791447331e-17;NaN;NaN;-6.095190009156037e-05;0.8916799083547221
49.928;-4.812684318844518e-07;1.588920209716349e-05;-4.394107289140692e-08;1.505555873050631e-06;-0.0003501977478014284;-0.02261153235202039;0;-3.028980054065921e-18;-0.009297440193459572;NaN;1.981782151960765e-05;-2.69571169118196;NaN;NaN;-1.65776361846226e-07;3.008103340691471e-06;-0.003220638607140572;-0.04599181915329364;0;-8.989211579806295e-17;NaN;NaN;-4.080890057396591e-05;0.8920620899325935
49.929;-3.79798635874451e-07;1.191518088150545e-05;4.035323319939721e-08;-1.382658399070653e-06;-0.0003499369794150997;-0.02229748937944954;0;-2.808321195230814e-18;-0.009296212206043264;NaN;1.007388608487148e-05;-2.695446652100002;NaN;NaN;1.522434259215721e-07;-2.762547872266241e-06;-0.003221939281672734;-0.0453533493910474;0;-4.377024717108195e-17;NaN;NaN;-2.068040493356793e-05;0.8924441986999637
49.93;-3.699136776891265e-07;1.184701350798179e-05;3.331083986424233e-08;-1.141358065031218e-06;-0.0003496762180680291;-0.02198344623184981;0;-1.086496259348459e-17;-0.009294982858060852;NaN;3.253276783521386e-07;-2.695181608613538;NaN;NaN;1.256740088245722e-07;-2.280430855057384e-06;-0.003223240007444519;-0.04471487110243246;0;4.257936766604468e-18;NaN;NaN;-5.66417283562326e-07;0.8928262347391972
49.931;-3.603712458444264e-07;1.177886631920089e-05;2.638686091849252e-08;-9.041157153970202e-07;-0.000349415463752667;-0.02166940290937694;0;-9.648754181524365e-18;-0.009293752149912349;NaN;-9.427847887377716e-06;-2.694916560725709;NaN;NaN;9.955140677087027e-08;-1.806421499682539e-06;-0.003224540784153504;-0.0440763842840496;0;5.539358619518466e-17;NaN;NaN;1.953305826878082e-05;0.8932081981325679
49.932;-3.511649685483675e-07;1.17107386712334e-05;1.958130013690607e-08;-6.709314490636298e-07;-0.00034915471646213;-0.02135535941218094;0;-4.540880148687373e-18;-0.00929252008198389;NaN;-1.918563480118873e-05;-2.694651508439654;NaN;NaN;7.387563107086326e-08;-1.340520012739008e-06;-0.003225841611497318;-0.04343788893248854;0;3.789040707159551e-17;NaN;NaN;3.96180176238381e-05;0.8935900889622501
49.933;-3.422884741199894e-07;1.164262993924581e-05;1.289416062810744e-08;-4.418053444664052e-07;-0.0003488939761894239;-0.02104131574041172;0;-8.030235181554968e-18;-0.009291286654668829;NaN;-2.894802725483814e-05;-2.694386451758513;NaN;NaN;4.864669063409099e-08;-8.827265594974306e-07;-0.003227142489173371;-0.04279938504433846;0;-2.206397066775684e-16;NaN;NaN;5.968845668843925e-05;0.8939719073103242
