"No.","Time","Source","Destination","Protocol","Length","Info","value"
"1","0.000000","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","350997,-611364,533608,-1484,20504599,-55945920,35080598,-803"
"2","0.000000","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","365995,-652770,452398,-1618,24589209,-56411479,31485872,606"
"3","0.000000","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","399429,-670361,388757,-1010,28505950,-56572835,27698602,-1688"
"4","0.000692","dc:05:39:06:67:c4","IEEEI&MS_00:00:00","PTPv2","60","Follow_Up Message",""
"5","0.000692","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","449704,-664972,341597,-1298,32261875,-56389504,23710152,-967"
"6","0.000692","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","499700,-651976,293696,-1467,35813726,-55754921,19584659,-1953"
"7","0.001325","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","536308,-644659,236845,-985,39139255,-54805384,15365799,-1453"
"8","0.001325","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","561107,-643090,167805,-1176,42225756,-53558417,11035866,-1643"
"9","0.001325","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","573984,-645923,89114,-1112,45064651,-51967258,6647691,-1777"
"10","0.001963","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","579305,-647952,6390,-1290,47613215,-50053968,2207367,-1636"
"11","0.001963","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","587912,-639143,-67908,-1545,49868017,-47834179,-2203451,-1114"
"12","0.002526","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","612831,-607426,-122521,-1809,51817111,-45316878,-6603585,-1191"
"13","0.002526","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","651602,-553505,-158553,-1392,53447334,-42527075,-10999062,-1759"
"14","0.002526","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","689411,-492639,-191098,-1132,54741072,-39470060,-15325540,-2347"
"15","0.003350","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","707689,-444452,-237810,-1503,55706244,-36170238,-19562942,2264"
"16","0.003350","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","700050,-415998,-305098,-1349,56325187,-32645539,-23682877,695"
"17","0.003796","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","677057,-396817,-382687,-860,56591615,-28912520,-27647965,-1453"
